program,vehicle,path,filename,lines,sha256,included_from_main_exactly,include_order,candidate_subsystems
Comanche055,Command Module,Comanche055/AGC_BLOCK_TWO_SELF-CHECK.agc,AGC_BLOCK_TWO_SELF-CHECK.agc,513,f86f1a02856b29a2cd01186a1a807fe4455b576624f8c4cb5876408677c83868,True,75,executive-waitlist-restart
Comanche055,Command Module,Comanche055/ALARM_AND_ABORT.agc,ALARM_AND_ABORT.agc,230,ffa2e17087ed8029c2d56018114c4c947d9c3d03e6b15b0b17b11c8fc24a2d0f,True,82,executive-waitlist-restart
Comanche055,Command Module,Comanche055/ANGLFIND.agc,ANGLFIND.agc,626,827f457bf6dd722ed1432991623dcb6165e4ddc74dcf2c8ce531f5c2d21c5487,True,17,unclassified
Comanche055,Command Module,Comanche055/ASSEMBLY_AND_OPERATION_INFORMATION.agc,ASSEMBLY_AND_OPERATION_INFORMATION.agc,1010,45d86ebb0dfd5bc5a49f3be7abb8876cb66da6823311446bac58a6795fc6c101,True,2,source-and-memory-layout
Comanche055,Command Module,Comanche055/AUTOMATIC_MANEUVERS.agc,AUTOMATIC_MANEUVERS.agc,504,b7803a69b1702f90b89d8ae1510d646569cee23876bb113db51aec9c315f990e,True,53,unclassified
Comanche055,Command Module,Comanche055/CM_BODY_ATTITUDE.agc,CM_BODY_ATTITUDE.agc,301,187481b79cf3ff3c911b724c34084b0471ab62e06b52726fbde7d0d59786475c,True,40,unclassified
Comanche055,Command Module,Comanche055/CM_ENTRY_DIGITAL_AUTOPILOT.agc,CM_ENTRY_DIGITAL_AUTOPILOT.agc,1273,14f76028ec691d72b326c551b4676da928c1c744eb3a2aff817b582d70df9e1d,True,56,vehicle-control
Comanche055,Command Module,Comanche055/CONIC_SUBROUTINES.agc,CONIC_SUBROUTINES.agc,1922,b71ca76c2835831676ed58e7708132fe30a239fedffaf8a17decea177569d6af,True,68,interpreter-and-numerics
Comanche055,Command Module,Comanche055/CONTRACT_AND_APPROVALS.agc,CONTRACT_AND_APPROVALS.agc,73,769c1db20e0a9cb511ee16987700db047996dbec46f1a57b3eec4919f81a321d,True,1,unclassified
Comanche055,Command Module,Comanche055/CSM_GEOMETRY.agc,CSM_GEOMETRY.agc,415,93414cefa5c6ed833b4bc0610c5055a2ded393aea6938dc65d13cf2b717bc101,True,13,guidance-and-navigation
Comanche055,Command Module,Comanche055/DISPLAY_INTERFACE_ROUTINES.agc,DISPLAY_INTERFACE_ROUTINES.agc,1476,907f3b7502551a91de5b0aa772355038e3b39098670aab98fe31023e5f8fbd8a,True,80,dsky-and-crew-interface
Comanche055,Command Module,Comanche055/DOWN-TELEMETRY_PROGRAM.agc,DOWN-TELEMETRY_PROGRAM.agc,441,d8babb9b0e0677f441411eed3ab6919a70a6aa95cbb49388813731e6c2348e74,True,57,communications-sensors-and-telemetry
Comanche055,Command Module,Comanche055/DOWNLINK_LISTS.agc,DOWNLINK_LISTS.agc,411,1a9814350cf0d8cd9bf3e4c5e6da3adfa617754c4c6d6efe7f1986644eba0e32,True,7,communications-sensors-and-telemetry
Comanche055,Command Module,Comanche055/ENTRY_LEXICON.agc,ENTRY_LEXICON.agc,299,61dfe49679a2e60f45a737aeb1bbbc1114bbaee67d7ff30d47b9f35587f01e91,True,38,unclassified
Comanche055,Command Module,Comanche055/ERASABLE_ASSIGNMENTS.agc,ERASABLE_ASSIGNMENTS.agc,3785,f62df826c0cd678f4788ca7275d8ffccec229f9859c02839f1d944359c01ee58,True,4,source-and-memory-layout
Comanche055,Command Module,Comanche055/EXECUTIVE.agc,EXECUTIVE.agc,496,d76a32a7fe3168d949dfa13af819695d019bfe3a86e1a4782003237ed146b14b,True,63,executive-waitlist-restart
Comanche055,Command Module,Comanche055/EXTENDED_VERBS.agc,EXTENDED_VERBS.agc,1315,823f56eca59e7f5379a62b1c903b7bbc01a264aca420f9090a86e35c1f112195,True,11,dsky-and-crew-interface
Comanche055,Command Module,Comanche055/FIXED_FIXED_CONSTANT_POOL.agc,FIXED_FIXED_CONSTANT_POOL.agc,263,1e2f7706589fb469347fed55f294c867ffa7c7cb46f7873c0cb11deef5d48be8,True,60,source-and-memory-layout
Comanche055,Command Module,Comanche055/FRESH_START_AND_RESTART.agc,FRESH_START_AND_RESTART.agc,1480,d208d482531e01c2ffe48fca059117220d922c750b3936f0a046e9ea9499ae59,True,8,executive-waitlist-restart
Comanche055,Command Module,Comanche055/GIMBAL_LOCK_AVOIDANCE.agc,GIMBAL_LOCK_AVOIDANCE.agc,98,f870ac2ba6f231a42d59459db8d027171f6b2a00e61e84f6da66e4b4856cd3f0,True,18,vehicle-control
Comanche055,Command Module,Comanche055/GROUND_TRACKING_DETERMINATION_PROGRAM.agc,GROUND_TRACKING_DETERMINATION_PROGRAM.agc,205,78875ef9f79433fa096eb975dd9658709cd2e4ea09cff47e2165c74251489f1b,True,22,unclassified
Comanche055,Command Module,Comanche055/IMU_CALIBRATION_AND_ALIGNMENT.agc,IMU_CALIBRATION_AND_ALIGNMENT.agc,1406,0f912428b5bde06a8bae27432f9c56679cfe5cfc2d1ee5eeadf80a37cf98185c,True,21,communications-sensors-and-telemetry;guidance-and-navigation
Comanche055,Command Module,Comanche055/IMU_COMPENSATION_PACKAGE.agc,IMU_COMPENSATION_PACKAGE.agc,368,fe2e800173b6c7e607d03c0b06a58b517b4faae2f8400e74b98b36b54e10cf19,True,14,communications-sensors-and-telemetry
Comanche055,Command Module,Comanche055/IMU_MODE_SWITCHING_ROUTINES.agc,IMU_MODE_SWITCHING_ROUTINES.agc,1066,bcc7f8e4819e191b159673ef27463c93ba3052fddcc14dba36d7a28e16b860eb,True,78,communications-sensors-and-telemetry
